playername,role,team
ieatuup,DPS,Australia
Yuki,DPS,Australia
Hus,DPS,Australia
ckm,DPS,Australia
Adam,Flex,Australia
Punk,Flex,Australia
Trill,Tank,Australia
Quatz,Tank,Australia
tongue,Support,Australia
Akraken,Support,Australia
Bertlog,Support,Australia
Custa,Support,Australia
MrDragonLol,DPS,Austria
Stvn,DPS,Austria
HeroRay,DPS,Austria
Wat7,Tank,Austria
Sensotix,Tank,Austria
ecLipse,Support,Austria
Minimi,Support,Austria
liko,DPS,Brazil
dudu,DPS,Brazil
murizzz,DPS,Brazil
honorato,Flex,Brazil
Stylo,Flex,Brazil
Wetter,Flex,Brazil
neil,Tank,Brazil
Fastie,Tank,Brazil
ole,Support,Brazil
kolero,Support,Brazil
dehzinho,Support,Brazil
alemao,Support,Brazil
Surefour,DPS,Canada
Agilities,DPS,Canada
Mangachu,DPS,Canada
Kellar,DPS,Canada
NotE,Flex,Canada
Kevin,Flex,Canada
xQc,Tank,Canada
Chayne,Tank,Canada
Bani,Support,Canada
Joemeister,Support,Canada
Crimzo,Support,Canada
Roolf,Support,Canada
KHeart,DPS,China
leave,DPS,China
Krystal,DPS,China
Shy,DPS,China
Lateyoung,DPS,China
guxue,DPS,China
Sky,Support,China
Yveltal,Support,China
fischer,DPS,Denmark
naGGa,DPS,Denmark
SpoXez,DPS,Denmark
Shax,DPS,Denmark
Molf1g,Flex,Denmark
Danii,Flex,Denmark
Pagh,Tank,Denmark
Nerfdd,Tank,Denmark
Hunni,Support,Denmark
Ding,Support,Denmark
Scaler,Support,Denmark
Kellex,Support,Denmark
LiNkzr,DPS,Finland
Taimou,DPS,Finland
Davin,DPS,Finland
zappis,Flex,Finland
rCk,Flex,Finland
fragi,Tank,Finland
LhCloudy,Tank,Finland
BigGoose,Support,Finland
Masaa,Support,Finland
Shaz,Support,Finland
Zuppeh,Support,Finland
Ripa,Support,Finland
SoOn,DPS,France
aKm,DPS,France
NiCOgdh,DPS,France
Asking,DPS,France
Poko,Flex,France
Shuh,Flex,France
Kolsti,Tank,France
BenBest,Tank,France
HyP,Support,France
uNKOE,Support,France
dridro,Support,France
winz,Support,France
Adi,DPS,Germany
cRNKz,DPS,Germany
Massie,DPS,Germany
Nesh,DPS,Germany
Mete,Flex,Germany
NexX,Flex,Germany
ProGi,Tank,Germany
TerenZ,Tank,Germany
immortal,Support,Germany
KodaK,Support,Germany
Talyz,Support,Germany
Xenlon,Support,Germany
Mikouw,DPS,Hong Kong
Moowe,DPS,Hong Kong
YiWind,Tank,Hong Kong
GZQQ,Tank,Hong Kong
JazZy,Tank,Hong Kong
ManGoJai,Support,Hong Kong
AmCrazy,Support,Hong Kong
Carnifex,DPS,Italy
HearThbeaT,DPS,Italy
Hinu,DPS,Italy
Najiny,DPS,Italy
thebigone,DPS,Italy
DragonEddy,DPS,Italy
FighteR,Flex,Italy
LUFT,Tank,Italy
Midna,Tank,Italy
Adnar,Support,Italy
Bimbz,Support,Italy
Nisa,Support,Italy
AmeKen,DPS,Japan
hoshimi,DPS,Japan
Dep,DPS,Japan
ta1yo,DPS,Japan
pocky,Flex,Japan
kenmohororo,Flex,Japan
Rimlime,Tank,Japan
SamuraiD,Tank,Japan
CLAIRE,Support,Japan
Xeraphy,Support,Japan
Yoz,Support,Japan
Sabagod,Support,Japan
Jona,DPS,Netherlands
Vizility,DPS,Netherlands
Dante,DPS,Netherlands
Zino,DPS,Netherlands
Corn,Tank,Netherlands
brussen,Tank,Netherlands
sweex,Tank,Netherlands
A10,Tank,Netherlands
CrusaDe,Support,Netherlands
sab,Support,Netherlands
Trispear,Support,Netherlands
TheWrongName,Support,Netherlands
good3st,DPS,Norway
TracK,DPS,Norway
Frost,DPS,Norway
ONIGOD,DPS,Norway
Invision,DPS,Norway
yiqids,DPS,Norway
Crow,Tank,Norway
Tricky,Tank,Norway
Decod,Tank,Norway
Iko,Support,Norway
iPN,Support,Norway
Melk,Support,Norway
Matth,DPS,Poland
Danye,DPS,Poland
Redziok,DPS,Poland
Dxtr,Tank,Poland
Philion,Tank,Poland
Setrox,Tank,Poland
Matwoj,Tank,Poland
Shaddo,Tank,Poland
Koby,Support,Poland
Webster,Support,Poland
Duku,Support,Poland
Xyzano,Support,Poland
ShaDowBurn,DPS,Russia
Mistakes,DPS,Russia
NLaaeR,DPS,Russia
uNFixed,DPS,Russia
Txao,Flex,Russia
rez,Flex,Russia
Alexey,Tank,Russia
Tonic,Tank,Russia
Engh,Support,Russia
MayN,Support,Russia
Bezpalivo,Support,Russia
Vlad,Support,Russia
Saebyeolbe,DPS,South Korea
Libero,DPS,South Korea
Carpe,DPS,South Korea
Fleta,DPS,South Korea
MekO,Flex,South Korea
Fury,Flex,South Korea
Fissure,Tank,South Korea
Fate,Tank,South Korea
ArK,Support,South Korea
JJoNak,Support,South Korea
Anamo,Support,South Korea
KariV,Support,South Korea
PoPiFresH,DPS,Spain
ToxikeN,DPS,Spain
BromaS,Flex,Spain
Networkz,Tank,Spain
neptuNo,Support,Spain
HarryHook,Support,Spain
dhaK,Support,Spain
Linepro,Support,Spain
SharP,DPS,Sweden
snillo,DPS,Sweden
TviQ,DPS,Sweden
iddqd,DPS,Sweden
Nevix,Flex,Sweden
Manneten,Flex,Sweden
CWoosH,Tank,Sweden
Reinforce,Tank,Sweden
Graceful,Support,Sweden
Luddee,Support,Sweden
chipshajen,Support,Sweden
Zebbosai,Support,Sweden
Luux,DPS,Switzerland
Dijnn,DPS,Switzerland
Aisey,DPS,Switzerland
Shinoda,DPS,Switzerland
Kiba,Flex,Switzerland
Gintoki,Flex,Switzerland
Helv,Tank,Switzerland
Mimi7,Tank,Switzerland
R3M1X,Support,Switzerland
Flow,Support,Switzerland
Sk0rpi0n,Support,Switzerland
NiV,Support,Switzerland
ShaiuKin,DPS,Taiwan
BLUE,DPS,Taiwan
Kant,Flex,Taiwan
TenTen,Tank,Taiwan
ATing,Tank,Taiwan
Craz1S,Support,Taiwan
OYO,Support,Taiwan
oPuTo,DPS,Thailand
Patiphan,DPS,Thailand
NzNr,DPS,Thailand
TNK,DPS,Thailand
Mickie,Flex,Thailand
SaiyajinGOD,Flex,Thailand
Teetawat,Tank,Thailand
QueEn,Tank,Thailand
Rocket,Support,Thailand
Pannys,Support,Thailand
tae,Support,Thailand
pichu,Support,Thailand
Kyb,DPS,United Kingdom
MikeyA,DPS,United Kingdom
KSP,DPS,United Kingdom
Jellis,DPS,United Kingdom
Smex,Flex,United Kingdom
Moursi,Flex,United Kingdom
ChrisTFer,Tank,United Kingdom
Fusions,Tank,United Kingdom
Boombox,Support,United Kingdom
Daiya,Support,United Kingdom
Kruise,Support,United Kingdom
FunnyAstro,Support,United Kingdom
Danteh,DPS,United States
ZachaREEE,DPS,United States
Hydration,DPS,United States
Sinatraa,DPS,United States
SPACE,Flex,United States
McGravy,Flex,United States
super,Tank,United States
Muma,Tank,United States
Elk,Support,United States
Moth,Support,United States
Rawkus,Support,United States
sleepy ,Support,United States
